Service,Category,Plan,Monthly (USD),Annual (USD),Billing Email,Billing Method,Status,Owner,Recommendation,Classification Code,Notes
Leica LUX Pro (Family),Photo,$6.99/mo (Family),6.99,84,chasethis@gmail.com,Apple (Family),Expiring,Personal,LET EXPIRE or migrate if used for CPP,—,Leica camera app
Polycam Pro Yearly,Scan,Expired,0,0,chasethis@gmail.com,Apple,Expired,Legacy-Scan2Plan,LET DIE,—,Scan2Plan-era tool
KIRI Engine,Scan,Expiring,,,chasethis@gmail.com,Apple,Expiring,Legacy-Scan2Plan,LET EXPIRE,—,Scan2Plan-era tool
Parsec,Remote,Previously active,,,me@chasepierson.tv,Parsec direct,Expired Nov 2025,Legacy,—,—,Already gone
Mozilla Monitor Plus,Privacy,Canceled Dec 2025,0,0,me@chasepierson.tv,Mozilla direct,Canceled,Legacy,—,—,Already gone
Spotify Family (NEW — to add),Media,Family (6 accounts),17,204,me@chasepierson.tv (to create),MBT card (to set up),To activate,MBT,ACTIVATE,MBT-PLATFORM,Per subs doc C.3 addition
DistroKid Label (NEW — to add),Records,Label tier,12,139,me@chasepierson.tv (to create),MBT card,To activate,MBT,ACTIVATE,TOUR,Big Muddy Records distribution for Chase Pierson + Mechanical Bull + Kate Squire + future artists
SoundCloud For Artists Pro Unlimited (NEW — to add),Records,Pro Unlimited,12,99,me@chasepierson.tv (to create),MBT card,To activate,MBT,ACTIVATE,TOUR,Big Muddy Records SoundCloud presence
Songtrust (optional per-artist),Records,Per-artist annual,10,100,Per-artist,Songtrust direct,To evaluate,MBT,EVALUATE per artist,TOUR,Publishing royalty collection
CapCut Team 3-seat (NEW — to add),Design,Team (3 users),52,624,me@chasepierson.tv (to create),MBT card,To activate,MBT,ACTIVATE + cancel Apple CapCut Pro,STUDIO-C,Chase + Amy + Elijah
GoHighLevel,Marketing,Subscription,,,chase@scan2plan.io,GoHighLevel direct,Active (promo emails),Legacy-scan2plan,EVALUATE (Miles may want to keep; otherwise cancel),—,Marketing automation
Read.ai,Productivity,Trial ended,0,0,chase@scan2plan.io,Read.ai direct,Trial ended,Legacy,DO NOT UPGRADE,—,Meeting AI
Beehiiv,Newsletter,Trial,0,0,me@chasepierson.tv,Beehiiv direct,Trial ended,MBT,VERIFY status; may be KEEP if used,MBT-PLATFORM,Newsletter platform
Shopify,Ecommerce,Trial offer,0,0,me@chasepierson.tv,Shopify direct,Not active,—,SKIP,—,Old test site pitching reactivation
Harbor Freight INSIDE TRACK CLUB,Shopping,Membership,,,chasethis@gmail.com,Harbor Freight direct,Active,Personal,KEEP Personal or migrate to Inn if Inn supplies,—,Tools + discounts
Spectrum Internet (home),Utility,$50/mo autopay,50,600,chasethis@gmail.com,Spectrum direct,Active,Personal,KEEP Personal,—,Catskills house internet (part of Chase's $500/mo aggregate bills)
AT&T Wireless,Utility,Monthly plan,~100,1200,chasethis@gmail.com,AT&T direct,Active (payment issue Nov 30),Personal,KEEP Personal,—,Cell phone
GEICO Auto Insurance,Insurance,Auto Pay,169.52,2034,me@chasepierson.tv,GEICO direct,Active (payment declined once),Personal,KEEP Personal,—,Auto insurance — $169.52/mo
Paraco Gas,Utility,Per usage,,,chasethis@gmail.com,Paraco direct,Active,Personal,KEEP Personal,—,Catskills house propane
Central Hudson Electric,Utility,Monthly bill,,6896,chasethis@gmail.com,Central Hudson direct,OVERDUE ($6896 due Apr 24),Personal,URGENT: Resolve the arrears,—,"Huge balance at 379 SICKLER RD — investigate and resolve"
Bridgecrest Car Payment,Finance,$520/mo,520,6240,chasethis@gmail.com,Bridgecrest direct,Past due (repeatedly),Personal,GET CURRENT,—,Car loan
Pair Networks (katiehalper.com),Hosting,Domain + hosting,,,chasethis@gmail.com,Pair direct,Active (renewal failed),Client-Katie-Halper,CLIENT BILLS (forward to Katie),—,Belongs to her
Hometap,Finance,Annual insurance renewal,,,chasethis@gmail.com,Hometap direct,Renewal notice,Personal,KEEP Personal,—,Home equity product for NY house
Experian membership,Credit,Monitoring,,,chasethis@gmail.com,Experian direct,Active,Personal,EVALUATE (keep for CIBIL monitoring),—,Credit monitoring
SoFi Plus membership,Finance,Banking tier,0,0,chasethis@gmail.com,SoFi direct,Active (changing),Personal,—,—,Not a paid subscription
Buzzsprout,Podcast,Standard,18,216,me@chasepierson.tv,Buzzsprout direct,Active,MBT,KEEP,MBT-PLATFORM,Podcast hosting
Sanity CMS,Platform,Team or Growth,~50,600,me@chasepierson.tv,Sanity direct,Active,MBT,VERIFY plan tier,MBT-PLATFORM,CMS for all brands
Neon Postgres,Platform,Launch or Scale,19,228,me@chasepierson.tv,Neon direct,Active,MBT,KEEP,MBT-PLATFORM,Primary DB
Resend,Platform,Pro,20,240,me@chasepierson.tv,Resend direct,Active,MBT,KEEP,MBT-PLATFORM,Transactional email
Attio CRM,Platform,Free tier,0,0,me@chasepierson.tv,Attio direct,Free,MBT,KEEP FREE,MBT-PLATFORM,CRM
Adobe Photography,Design,Lightroom + Photoshop,9.99,120,me@chasepierson.tv,Adobe direct,Active,MBT,KEEP,CPP,Chase photo work
Adobe Creative Cloud Full,Design,All Apps,59.99,720,Studio C email (TBD),Adobe direct,Active,Studio-C,KEEP,STUDIO-C,Elijah primary
Restream.io (to migrate),Video,Standard or higher,30,360,TBD (Studio C),Restream direct,To migrate from Big Muddy,Studio-C,MIGRATE account to Studio C,STUDIO-C,Per subs doc — cancel current + new
Canva Teams,Design,Teams,~30,360,me@chasepierson.tv (to set up),Canva direct,To activate,MBT,ACTIVATE,MBT-PLATFORM,5 team seats
Bitwarden Family,Security,Family,3.33,40,me@chasepierson.tv,Bitwarden direct,Active,MBT,KEEP,MBT-PLATFORM,Shared vault
Cloudbeds,Hospitality,PMS,~400,4800,bigmuddyinn account,Cloudbeds direct,Active,Inn,KEEP (Inn-specific),INN,Property mgmt system
Twilio SMS,Platform,Pay-as-you-go,~10,120,me@chasepierson.tv (TBD),Twilio direct,Maybe,Inn,VERIFY (used for Inn booking SMS?),INN,Check if active
