slug,name,city,state,email,phone,website,status,confidence,is_heritage,primary_genres,gaps_count,source_count,next_action
the-orpheum-theatre-memphis,The Orpheum Theatre,Memphis,TN,help@orpheum-memphis.com,(901) 525-3000,https://orpheum-memphis.com,active,High,,Broadway; pop; jazz; classical,45,1,help@orpheum-memphis.com / (901) 525-3000
wild-bills-juke-joint-memphis,Wild Bill's Juke Joint,Memphis,TN,,,,active,Medium,,blues; soul,49,1,Walk-in or via Facebook @wildbildsjukejoint — no public booking
earnestine-hazels-memphis,Earnestine & Hazel's,Memphis,TN,,,,active,Medium,,blues; soul,49,1,Via @earnestinehazelsmemphis on Facebook — no public booking
center-for-southern-folklore-memphis,Center for Southern Folklore,Memphis,TN,,(901) 525-3655,https://southernfolklore.com,active,Medium,,blues; folk; roots,48,2,(901) 525-3655 or southernfolklore.com
b-side-memphis,B-Side,Memphis,TN,,,,active,Medium,,indie; folk; singer-songwriter,49,1,Via Minglewood Hall: (901) 312-6058
ground-zero-blues-club-clarksdale,Ground Zero Blues Club,Clarksdale,MS,,(662) 621-9009,https://www.groundzerobluesclub.com,active,High,,blues,46,2,(662) 621-9009 or groundzerobluesclub.com
reds-lounge-clarksdale,Red's Lounge,Clarksdale,MS,,,,active,High,,blues,49,1,Walk-in or @redsblueslounge on Facebook — no public booking
shack-up-inn-juke-joint-chapel-clarksdale,Shack Up Inn / Juke Joint Chapel,Clarksdale,MS,shackup@shackupinn.com,(662) 624-8329,https://www.shackupinn.com,active,High,,blues; roots; Americana,46,2,shackup@shackupinn.com / (662) 624-8329
hopson-commissary-clarksdale,Hopson Commissary,Clarksdale,MS,,(662) 624-8329,,active,Medium,,blues,48,1,(662) 624-8329 (via Shack Up Inn)
bluesberry-cafe-clarksdale,Bluesberry Cafe,Clarksdale,MS,,,,active,Medium,,blues,49,1,No public booking — walk-in or @bluesberrycafe on Facebook
hambone-art-music-clarksdale,Hambone Art & Music,Clarksdale,MS,,,,active,Medium,,blues; folk; roots,49,1,No public booking — walk-in or @hambonegallery on Facebook
delta-blues-alley-cafe-clarksdale,Delta Blues Alley Cafe,Clarksdale,MS,,,,active,Medium,,blues,49,1,No public booking — walk-in or @deltabluesalleycafe on Facebook
bad-apple-blues-club-clarksdale,Bad Apple Blues Club,Clarksdale,MS,,,https://www.visitclarksdale.com,active,High,,blues,48,2,Contact via Facebook @badapplebluesclub
auberge-hostel-old-madidi-bar-clarksdale,Auberge Hostel / Old Madidi Bar,Clarksdale,MS,,,,active,Medium,,blues,49,1,Walk-in or @clarksdalehostel on Facebook — no public booking
hooker-grocer-eatery-clarksdale,Hooker Grocer + Eatery,Clarksdale,MS,,,,active,Low,,blues,50,1,No public contact — walk-in or via Cat Head: roger@cathead.biz
the-den-again-clarksdale,The Den Again,Clarksdale,MS,,,,active,Low,,rock; Americana; blues,49,1,No public contact — walk-in or via Cat Head: roger@cathead.biz
delta-cultural-center-helena-west-helena,Delta Cultural Center,Helena-West Helena,AR,dcc@arkansasheritage.com,(870) 338-4350,https://www.arkansasheritage.com,active,High,,blues; delta heritage,46,2,dcc@arkansasheritage.com / (870) 338-4350
king-biscuit-blues-festival-grounds-helena-west-helena,King Biscuit Blues Festival Grounds,Helena-West Helena,AR,,(870) 572-5223,https://kingbiscuitfestival.com,active,High,,blues; gospel,47,2,"(870) 572-5223 / 319 Phillips St, Helena AR; kingbiscuitfestival.com"
cherry-street-pavilion-helena-west-helena,Cherry Street Pavilion,Helena-West Helena,AR,dcc@arkansasheritage.com,(870) 338-4350,https://www.arkansasheritage.com,active,High,,blues; jazz,46,2,dcc@arkansasheritage.com / (870) 338-4350
delta-dirt-distillery-helena-west-helena,Delta Dirt Distillery,Helena-West Helena,AR,,,https://deltadirtdistillery.com,active,Medium,,blues; roots; acoustic,49,2,Via deltadirtdistillery.com contact form
walnut-street-blues-bar-greenville,Walnut Street Blues Bar,Greenville,MS,,(662) 378-2254,,active,Low,,blues; R&B,49,1,(662) 378-2254 — call to verify active schedule before booking
historic-club-ebony-indianola,Historic Club Ebony,Indianola,MS,info@bbkingmuseum.org,(662) 887-9539,https://bbkingmuseum.org/rentals/,active,High,,blues; jazz; R&B,45,2,info@bbkingmuseum.org / (662) 887-9539
ameristar-casino-entertainment-venue-vicksburg,Ameristar Casino Entertainment Venue,Vicksburg,MS,,,https://www.ameristarvicksburg.com/entertainment,active,Medium,,country; blues; rock,49,1,Via ameristarvicksburg.com/entertainment entertainment dept contact form
waterview-casino-vicksburg,WaterView Casino,Vicksburg,MS,,,https://www.waterviewcasino.com,active,Medium,,blues; R&B,49,2,Via waterviewcasino.com entertainment dept
rustys-riverfront-grill-vicksburg,Rusty's Riverfront Grill,Vicksburg,MS,rustysriverfront@bellsouth.net,(601) 638-2030,https://rustysriverfrontgrill.com,active,Low,,Americana; rock; covers,48,2,rustysriverfront@bellsouth.net / (601) 638-2030 — confirm live music schedule before routing
under-the-hill-saloon-natchez,Under the Hill Saloon,Natchez,MS,,,,active,Medium,,blues; country; roots,49,1,Walk-in or @underthehillsaloon on Instagram — no public booking
locust-alley-natchez,Locust Alley,Natchez,MS,,,https://locustalleynatchez.com,active,Medium,,blues; country; Americana; roots,50,1,Via locustalleynatchez.com contact form
smoots-grocery-blues-lounge-natchez,Smoot's Grocery Blues Lounge,Natchez,MS,,(601) 653-0731,smoots-lounge.edan.io,active,High,,blues; jazz; country; rock,46,2,(601) 653-0731
hal-mals-jackson,Hal & Mal's,Jackson,MS,info@halandmals.com,(601) 948-0888,https://www.halandmals.com,active,High,,blues; jazz; folk; Americana,45,2,info@halandmals.com / (601) 948-0888
duling-hall-jackson,Duling Hall,Jackson,MS,,(601) 292-7121,http://www.dulinghall.com/,active,High,,rock; Americana; folk; singer-songwriter; country,47,2,(601) 292-7121; booking contact not public — call venue
martins-downtown-jackson,Martin's Downtown,Jackson,MS,,,https://www.martinsdowntownjxn.com,active,High,,rock; Americana; roots; DJ,48,2,Via martinsdowntownjxn.com/music booking form
thalia-mara-hall-jackson,Thalia Mara Hall,Jackson,MS,,(601) 960-1537,https://www.visitjackson.com/directory/thalia-mara-hall/,active,High,,Broadway; classical; major touring,47,1,(601) 960-1537 / via Visit Jackson
the-varsity-theatre-baton-rouge,The Varsity Theatre,Baton Rouge,LA,admin@225liveevents.com,(225) 383-7018,https://www.varsitytheatre.com,active,High,,rock; blues; R&B; hip-hop,45,3,admin@225liveevents.com / (225) 383-7018
manship-theatre-baton-rouge,Manship Theatre,Baton Rouge,LA,,(225) 344-0334,https://www.manshiptheatre.org,active,High,,all genres; performing arts,47,2,(225) 344-0334 / manshiptheatre.org
chelseas-live-baton-rouge,Chelsea's Live,Baton Rouge,LA,aaron@chelseaslive.com,,https://www.chelseaslive.com,active,Medium,,indie; rock; Americana,46,1,aaron@chelseaslive.com
the-texas-club-baton-rouge,The Texas Club,Baton Rouge,LA,,,https://www.thetexasclub.com,active,High,,country; Americana; Southern rock,48,1,Via thetexasclub.com contact
red-dragon-listening-room-baton-rouge,Red Dragon Listening Room,Baton Rouge,LA,,,,active,Low,,blues; folk; Americana; roots,49,2,Via Setlist.fm listing or in-person visit; no public contact found
tipitinas-new-orleans,Tipitina's,New Orleans,LA,Info@Tipitinas.com,,https://tipitinas.com,active,High,,funk; blues; rock; jazz; Cajun,46,1,Info@Tipitinas.com
preservation-hall-new-orleans,Preservation Hall,New Orleans,LA,,,https://preservationhall.com,active,High,,traditional New Orleans jazz,46,2,"Via preservationhall.com — house acts only, no outside bookings typically"
the-howlin-wolf-new-orleans,The Howlin' Wolf,New Orleans,LA,management@thehowlinwolf.com,(504) 529-5844,https://www.thehowlinwolf.com,active,High,,funk; blues; rock; brass; hip-hop,45,2,management@thehowlinwolf.com / (504) 529-5844
maple-leaf-bar-new-orleans,Maple Leaf Bar,New Orleans,LA,,(504) 866-9359,https://www.mapleleafbar.com,active,High,,funk; jazz; R&B; roots; blues,46,2,(504) 866-9359 or mapleleafbar.com
dba-new-orleans,d.b.a.,New Orleans,LA,events@dbaneworleans.com,(504) 942-3731,https://www.dbaneworleans.com,active,High,,jazz; blues; roots; funk,45,2,events@dbaneworleans.com / (504) 942-3731
the-spotted-cat-music-club-new-orleans,The Spotted Cat Music Club,New Orleans,LA,,,https://www.spottedcatmusicclub.com,active,High,,jazz; blues; funk; swing,49,1,"Via spottedcatmusicclub.com — house acts only, no outside bookings"
the-maison-new-orleans,The Maison,New Orleans,LA,,(504) 371-5543,https://maisonfrenchmen.com,active,High,,jazz; funk; brass,47,1,(504) 371-5543 or maisonfrenchmen.com
saenger-theatre-new-orleans,Saenger Theatre,New Orleans,LA,,(504) 525-1052,https://saengertheatre.com,active,High,,Broadway; touring pop/rock,45,2,(504) 525-1052 / saengertheatre.com
the-howlin-wolf-den-new-orleans,The Howlin' Wolf Den,New Orleans,LA,management@thehowlinwolf.com,(504) 529-5844,https://www.thehowlinwolf.com,active,Medium,,rock; indie; comedy,46,2,management@thehowlinwolf.com / (504) 529-5844
proud-larrys-oxford,Proud Larry's,Oxford,MS,booking@proudlarrys.com,(662) 236-0050,https://proudlarrys.com,active,High,,rock; Americana; indie; country; singer-songwriter,46,3,booking@proudlarrys.com / (662) 236-0050
the-lyric-oxford-oxford,The Lyric Oxford,Oxford,MS,,(662) 234-5333,https://thelyricoxford.com,active,High,,rock; Americana; country; pop,47,2,(662) 234-5333; booking contact not public — call venue
blue-canoe-tupelo,Blue Canoe,Tupelo,MS,,(662) 269-2642,https://www.bluecanoebar.com,active,High,,rock; Americana; blues; country; original music,47,2,(662) 269-2642 or bluecanoebar.com
elvis-presley-birthplace-museum-stage-tupelo,Elvis Presley Birthplace / Museum Stage,Tupelo,MS,,(662) 841-1245,https://elvispresleybirthplace.com,active,High,,blues; Americana; roots,47,2,(662) 841-1245 or elvispresleybirthplace.com
porters-on-main-tupelo,Porter's on Main,Tupelo,MS,,(662) 260-5134,,active,Medium,,acoustic; singer-songwriter; DJ,48,1,(662) 260-5134
revolution-music-room-little-rock,Revolution Music Room,Little Rock,AR,chris@lovelivemusic.com,(501) 823-0090,https://www.revroom.com,active,High,,rock; Americana; country; blues,45,3,chris@lovelivemusic.com / (501) 823-0090
stickyz-rock-n-roll-chicken-shack-little-rock,Stickyz Rock 'N' Roll Chicken Shack,Little Rock,AR,,(501) 372-7707,https://stickyz.com,active,High,,rock; blues; Americana; metal,47,2,Booking form at stickyz.com/booking / (501) 372-7707
white-water-tavern-little-rock,White Water Tavern,Little Rock,AR,,,https://www.whitewatertavern.com,active,High,,indie; folk; punk; Americana; experimental,49,2,Walk-in or whitewatertavern.com; no public booking listed
vinos-pizza-pub-brewery-little-rock,Vino's Pizza Pub & Brewery,Little Rock,AR,,(501) 375-8466,https://vinosbrewpub.com,active,High,,punk; metal; indie; rock,46,2,(501) 375-8466 or vinosbrewpub.com
kings-live-music-conway,Kings Live Music,Conway,AR,kingsconway@gmail.com,(501) 205-8512,https://www.kingslivemusic.com,active,High,,country; Americana; folk; rock,46,2,kingsconway@gmail.com / (501) 205-8512
